,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
11606,48,1580,1,1,1,-87633.38257601108,0.28,20749.53,66954.78148935271
11607,57,2749,1,1,1,-121118.86582614532,0.32,53885.94,90055.10822722779
11608,61,1594,3,2,2,-197234.35034091293,0.19,43577.89,-142721.5127910818
11609,36,1738,2,2,5,-83917.42117757814,0.18,67203.34,641679.5297552443
11610,57,1594,1,2,1,-144371.06653001913,0.08,82571.89,-73307.42851638386
11611,35,1738,2,2,5,-8080.789134712422,0.27,41845.55,789312.7528838947
11612,56,1594,3,2,4,-46941.00890615953,0.11,45632.37,24409.184492795575
11613,57,1723,1,4,1,-285810.6737400731,0.14,21762.58,-253034.09338221932
11614,39,1678,1,2,1,161104.82350648323,0.31,92599.31,1595257.4918847918
11615,41,1416,1,3,1,-138773.2636043298,0.3,24850.78,188978.0939590787
11616,38,3135,2,3,5,44016.192575212655,0.29,30752.94,656331.8319444091
11617,39,1407,1,3,1,-87259.9723126746,0.12,83602.47,413957.6080699124
11618,36,1585,2,1,4,160817.63064256427,0.31,99669.67,2014164.8900586215
11619,46,3088,3,1,5,-118657.20463862256,0.27,14128.81,-227.91748413574533
11620,35,2955,3,1,5,27882.92866093666,0.0,89015.1,27882.92866093666
11621,61,3068,1,1,1,-78655.26756491498,0.02,8212.26,-77758.52331892062
11622,55,1917,2,2,4,103945.39151008429,0.09,90074.56,215569.61336550268
11623,53,1851,3,2,5,104500.96130338818,0.29,148803.62,840334.779816875
11624,55,2452,2,2,2,135730.46758744848,0.01,193611.42,162389.5229051549
11625,46,1647,1,1,1,255134.0988070845,0.11,96084.7,583257.1110331407
11626,46,3088,1,1,1,47620.15480299026,0.01,54962.71,69051.80180761435
11627,50,2906,3,1,5,156372.6718170256,0.17,49057.9,358629.2826139808
11628,37,2191,3,2,3,163988.97996766874,0.04,54073.7,286190.4434801287
11629,40,1727,1,1,1,158225.8818234849,0.26,169577.07,2225913.6970450697
11630,37,1818,1,1,1,-41412.65601970106,0.08,13956.01,21665.87741871822
11631,56,1353,2,3,3,142058.0954961611,0.33,167230.62,817049.7532551724
11632,56,1723,3,2,5,107324.28194128668,0.23,23681.32,173943.94134529494
11633,62,3496,2,1,3,237984.10358276943,0.13,88749.14,287269.85520266666
11634,51,3022,3,1,5,79141.54463062929,0.34,15922.43,190820.78736970507
11635,46,1562,1,1,1,-163060.46733550844,0.26,34099.32,112177.81099862169
11636,46,2930,1,1,1,730623.283605257,0.21,67320.59,1181779.285936658
11637,48,1562,1,1,1,241421.3131506998,0.33,47625.49,729724.9228231417
11638,51,2930,1,1,1,6774.281552745028,0.21,32201.01,146273.88840942367
11639,51,1822,1,2,1,711709.8474817096,0.24,220651.63,1804162.3827916384
11640,51,1842,3,2,3,-82852.45477274303,0.2,96413.09,314934.18521855725
11641,51,1222,1,3,1,-225504.2570572452,0.34,41340.47,138604.85566752288
11642,61,1315,1,3,1,7604.508103646363,0.06,79370.86,33605.40018620003
11643,42,1547,1,1,1,109138.1774319485,0.15,19285.38,228182.685376163
11644,49,1733,3,4,1,51354.090408994765,0.32,90809.57,764132.2484239277
11645,49,1562,1,1,1,-73509.13727176205,0.28,112488.79,699064.815747039
11646,50,3218,2,1,3,143765.29938539866,0.29,13993.2,235220.97293993298
11647,62,1670,3,2,5,-231817.24924588177,0.19,77448.93,-168956.01535160287
11648,55,1670,3,1,5,143633.2433854099,0.26,107864.14,529790.516295642
11649,54,1547,1,1,1,448855.0331886637,0.23,132656.88,917969.4197630278
11650,53,3022,1,1,1,100841.17931302836,0.21,17771.95,164480.07383434818
11651,62,1818,3,4,3,8343.500438496822,0.04,35093.67,16657.556153365018
11652,63,3414,1,1,1,-219746.08781394383,0.2,74645.57,-172959.20000123978
11653,39,1306,3,3,5,-20036.39900132024,0.18,100971.1,887983.8502311765
11654,45,1341,2,3,3,-108188.88290667588,0.01,32826.68,-92453.30813797216
11655,47,2202,2,2,5,66007.5154412685,0.34,137085.36,1407350.1918035685
11656,38,2191,1,2,1,141000.9805210162,0.32,74153.43,1402408.0520910197
11657,60,1795,3,2,2,-54104.36918605008,0.21,40231.82,18177.001010090906
11658,36,2191,3,2,5,-95658.4823967808,0.01,55698.66,-62248.45490323661
11659,60,1795,1,2,1,120902.23622724404,0.1,48861.64,165209.754732972
11660,59,1795,3,2,3,-57492.380624669655,0.3,46709.1,64711.625147563886
11661,36,2191,3,2,5,33904.09146778831,0.34,39282.68,928166.376386157
11662,45,1899,1,2,1,211940.01287379395,0.35,18223.75,425044.7807613604
11663,55,1795,1,2,1,-198721.90123670205,0.17,154697.34,163392.2966631669
11664,53,3353,2,1,5,203920.74952949115,0.19,19972.81,268629.2030965766
11665,58,1903,2,2,2,-189651.835284546,0.2,102514.93,1981.2393561954086
11666,43,1612,1,4,1,133627.35824515528,0.15,80494.09,597993.8455088882
11667,60,1795,3,2,5,128900.31589871684,0.23,25179.71,167702.36723005417
11668,61,3159,1,1,1,-179642.8000457381,0.01,85505.46,-174974.38177500016
11669,60,1699,3,1,3,98393.1911500772,0.27,75689.23,235315.42539208446
11670,50,2837,2,2,3,196096.95196160284,0.1,22844.98,247582.6251319177
11671,47,1397,2,3,2,-174550.18817912077,0.3,12063.68,-70397.42128063492
11672,53,3022,1,1,1,-137009.58800840515,0.13,135202.03,162695.98183379302
11673,41,2079,3,4,5,-89686.13072330575,0.13,14639.02,-6022.1400032659
11674,61,1795,1,2,1,-213434.5557914777,0.32,116879.68,-9230.24562368018
11675,40,1612,3,4,4,103887.37097424832,0.31,27737.33,507134.08834751276
11676,60,3186,3,1,2,35250.48902739824,0.24,55667.43,124763.98919539418
11677,62,3496,2,1,3,86782.88291600287,0.05,46888.07,98153.96912648859
11678,61,1699,1,1,1,-98318.58289437048,0.18,53127.89,-31598.284245732335
11679,62,3186,3,1,5,-76245.66379914699,0.02,32379.99,-72250.28935004795
11680,46,3053,3,1,5,-328830.0022069544,0.05,6129.99,-319314.7668151329
11681,51,1818,1,4,1,353621.13275260595,0.33,58783.56,784340.9787253733
11682,59,1903,2,2,3,263349.1657990702,0.18,78619.84,376488.44882267044
11683,60,1795,1,2,1,88646.17385841387,0.25,74717.19,213797.84841810825
11684,40,1775,2,2,5,-184932.6132701136,0.12,71216.35,215846.84209326777
11685,61,1331,3,3,5,-168263.02278962283,0.09,84719.16,-126633.63128842332
11686,47,1310,1,3,1,-48558.64023809127,0.22,58519.29,361466.39372828184
11687,37,1724,3,1,5,48388.00819925956,0.35,11257.84,271002.5062806694
11688,38,3366,1,1,1,373990.4807769929,0.13,254304.69,2131395.088482104
11689,63,3351,2,1,3,-103247.07669484615,0.1,123718.38,-64474.5282004781
11690,54,1893,3,2,5,23883.25231824812,0.0,44665.52,23883.25231824812
11691,36,1657,1,2,1,85258.63939785154,0.22,27313.11,445692.77969408716
11692,40,1293,3,3,5,142059.1603202737,0.29,66942.78,1052488.4792880027
11693,47,1293,2,1,5,55790.29660141462,0.27,40978.31,426014.7274536654
11694,56,3300,2,1,3,159608.0923523506,0.17,108914.03,386073.2609537868
11695,50,1699,1,1,1,104186.56100601466,0.27,36625.05,327049.3718377769
11696,37,1595,1,1,1,293.0639468330063,0.02,54979.73,78305.99777617629
11697,59,1677,1,4,1,276332.2591091428,0.28,8409.71,295157.81515441026
11698,52,3040,1,1,1,651349.219286566,0.19,91030.51,976544.7581268402
11699,48,1615,3,2,3,90956.5510060484,0.33,87263.96,857185.9324850168
11700,61,3466,2,1,3,29606.200954759468,0.18,94660.22,122634.68135918454
11701,56,3224,1,1,1,559713.9224840945,0.18,172184.48,938797.6776945174
11702,44,1734,3,4,3,206965.483092334,0.18,13082.83,291461.78766714106
11703,53,3167,3,1,4,-145397.34373853134,0.08,20069.12,-118020.29896927772
11704,55,3094,1,1,1,83182.01022416636,0.01,59178.09,92868.29320299486
11705,56,3094,3,1,5,77547.912604422,0.28,11778.42,117885.85426162189
11706,36,1410,1,3,1,-68994.5670101092,0.08,114157.0,478808.70273900486
11707,57,1747,1,4,1,-317653.4254937892,0.18,107499.36,-109490.39188865686
11708,42,3634,2,1,5,199481.95220632447,0.17,116161.44,1012126.8501796552
11709,52,1373,1,1,1,35228.26271066476,0.3,65406.05,417210.1392309812
11710,63,1807,3,1,2,-6071.465163303699,0.24,94300.77,64856.35354006919
11711,63,1652,1,1,1,-14268.433911197832,0.29,35196.01,17719.158499456607
11712,40,3488,2,1,3,114314.86732356776,0.33,34307.55,754703.425953287
11713,37,3150,1,3,1,-58630.07384096565,0.17,13655.7,72527.45250678151
11714,45,1683,1,2,1,16695.388649043805,0.04,75286.64,117310.97900925131
11715,39,1727,1,2,1,60983.41158881808,0.34,17334.12,355430.0880961907
11716,54,1972,1,2,1,-152530.63736854988,0.08,131765.56,9543.245270310697
11717,57,1289,3,3,2,-147163.73284953705,0.2,68663.38,570.2472347471921
11718,61,2994,3,1,5,70196.60101699807,0.08,34034.16,91142.4814786588
11719,54,3167,1,1,1,184847.7924041894,0.08,16553.0,205208.26428562077
11720,40,3389,2,3,3,22755.45203423369,0.18,28877.51,266523.4785488739
11721,43,3399,1,1,1,-247618.3757864377,0.21,28157.63,-20202.380079415394
11722,40,1813,1,1,1,331969.0511732997,0.29,169282.28,2634227.0526142977
11723,45,1535,3,4,3,-43253.08202830221,0.2,59548.05,354656.9725012368
11724,36,1458,3,3,1,195857.3100329688,0.23,60956.69,1036828.8494336538
11725,39,1841,2,1,5,652110.6971145321,0.21,68847.95,1374441.689228489
11726,59,1348,1,1,1,275093.8731116021,0.27,114972.79,523274.3392857184
11727,58,1397,2,3,3,72541.93891973815,0.21,63144.07,196480.1486361347
11728,59,1923,1,1,1,-16099.529915840558,0.09,57389.43,34166.49332574776
11729,59,1743,2,1,5,-50790.50355952605,0.28,187409.6,368735.2503869418
11730,59,1923,1,1,1,22945.18294223394,0.12,75162.21,95054.19554320318
11731,44,1623,2,2,5,40314.178666289576,0.35,39654.67,604776.2850167692
11732,51,1743,3,2,3,22301.131531133684,0.02,73739.09,52724.82695165811
11733,50,1248,1,3,1,70681.34100314644,0.09,79763.87,232468.60837906605
11734,59,1965,2,4,1,283408.461128013,0.29,52930.73,406624.90454189177
11735,46,2987,1,1,1,439748.44357097166,0.26,23452.94,629052.7120277518
11736,36,2868,2,1,5,94294.15528313068,0.3,42339.02,928927.3003067903
11737,39,2757,3,1,3,76678.21560417034,0.24,121711.59,1536060.66313993
11738,51,2345,1,4,1,396531.7875802516,0.31,136701.2,1270746.7110694484
11739,50,2896,1,4,1,420123.137099467,0.25,59411.58,785764.9062925664
11740,61,3606,1,1,1,725617.3031894774,0.17,45420.91,784990.6443894242
11741,56,1743,2,1,3,49381.33042895788,0.28,15600.58,102809.14891891487
11742,35,1536,1,3,1,-85581.25022438692,0.23,160943.84,2269549.779002854
11743,53,1978,3,1,2,40606.12250665422,0.22,175702.88,699734.1975083831
11744,51,3708,1,1,1,23670.8259687466,0.14,98848.85,309156.192488509
11745,59,3708,1,1,1,248778.2742563228,0.32,53751.99,406416.9702528647
11746,47,1967,3,1,4,217151.40112740177,0.24,26537.31,400441.028341841
11747,59,1743,2,1,2,721949.6633415763,0.11,24233.45,743261.2946183005
11748,52,1886,2,4,3,-248817.81298503684,0.31,82068.61,229528.87792429738
11749,53,1886,2,4,3,75790.11693853576,0.16,29322.0,155788.6128092122
11750,52,1886,2,4,3,-30469.07811637412,0.26,12013.44,28258.857366759323
11751,36,1470,3,1,5,-167620.79185503608,0.08,116096.88,389491.34731882566
11752,56,1923,1,1,1,-80988.52491767253,0.24,116911.69,262204.02045147144
11753,37,1470,1,1,1,-28620.12438626587,0.21,59980.19,736277.5541284545
11754,36,1593,1,1,1,146876.1541381193,0.1,51753.51,538017.042163634
11755,51,3312,2,1,5,50230.67313748228,0.19,84814.82,382667.8158097438
11756,62,3692,3,1,3,-52905.47507294611,0.24,29460.13,-22701.800729321953
11757,53,3312,2,1,5,-69742.2635753073,0.23,84442.4,261432.05672457462
11758,35,1828,2,2,4,312446.8706351228,0.26,52975.97,1190659.5183120416
11759,63,2063,2,2,2,-89895.83287443152,0.03,135220.76,-77182.63664309071
11760,37,1870,1,2,1,207516.4454103857,0.34,78175.96,1709213.9832093162
11761,43,1640,3,2,5,-11847.94859725229,0.22,50678.09,430091.20647531067
11762,52,1816,3,2,5,-251140.0603576901,0.34,59492.15,129174.17678772786
11763,53,2476,1,2,1,170404.60386120251,0.15,7035.11,188398.71509651924
11764,44,1640,1,2,1,-40776.59423059716,0.05,351485.98,589805.3385574443
11765,41,1680,1,4,1,-293683.4189097881,0.09,128942.09,216493.06301025464
11766,55,2022,3,2,3,-265235.6968362594,0.32,154075.87,413652.71029654174
11767,48,1975,3,2,5,1501.95717873914,0.27,17456.39,126910.79534681597
11768,56,1975,2,2,5,-119464.72878682063,0.02,103526.68,-94139.64166136092
11769,45,1601,1,3,1,83026.56499797101,0.27,18773.23,252378.49026746396
11770,51,3843,1,1,1,701318.9238919191,0.28,50635.68,1044711.5416121535
11771,36,1905,2,2,5,58858.17378954503,0.29,94623.95,1704863.2008473729
11772,44,1640,3,2,2,-8768.40554429695,0.29,31586.77,424603.32780632086
11773,41,2688,2,1,5,130248.30969154688,0.06,169216.18,576599.1503226586
11774,43,2688,2,1,5,531808.3243838194,0.0,83802.64,531808.3243838194
11775,56,3843,1,1,1,467395.8420293548,0.33,91013.98,834754.8653914968
11776,59,3406,2,1,5,-198376.0675349188,0.28,51494.73,-80372.12137873578
11777,38,1601,3,3,5,-31309.6303823948,0.33,106781.03,1841881.4637451994
11778,54,1859,1,3,1,-22424.334484899413,0.05,59241.77,31667.28963819141
11779,60,1882,1,3,1,-18143.052129712643,0.35,35389.55,64845.69546879374
11780,37,1334,2,3,1,-118831.83020734774,0.19,31407.64,343285.836095763
11781,58,1859,1,3,1,-94440.81049763905,0.1,42527.33,-36624.7502587758
11782,37,1532,1,1,1,19716.5636500586,0.28,9054.43,162951.67019719447
11783,57,3758,3,1,5,30094.634481790992,0.15,49019.12,116319.24084240996
11784,58,1594,3,2,5,20598.24566554575,0.06,3872.45,22769.89861373351
11785,52,1291,3,1,1,-87334.58832620368,0.29,99920.39,457489.2740239782
11786,56,1528,3,1,1,42083.21326725178,0.32,48675.9,242764.3973626879
11787,40,1359,3,3,4,129624.34724883882,0.09,74051.78,442176.50757180824
11788,36,1610,3,2,5,92086.0458222904,0.32,70846.21,1451960.0960279682
11789,37,2836,1,1,1,97464.78679700747,0.18,99902.04,1113426.1456731602
11790,50,2789,3,1,3,82850.01852168204,0.34,111430.85,936696.8549928586
11791,63,2749,1,1,1,-24355.69257636505,0.07,19366.53,-20107.149987019446
11792,48,2964,3,1,3,-203235.6047228326,0.0,42261.7,-203235.6047228326
11793,59,2749,3,1,3,52543.98676016934,0.32,44778.5,180280.62960276275
11794,45,2727,2,1,5,-317295.3001155429,0.22,22499.79,-151913.19386045152
11795,45,1738,1,2,1,596355.488954988,0.01,109972.39,633098.1864082578
11796,40,1658,1,1,1,144514.80797042785,0.12,16155.22,235430.45125845942
11797,56,2749,3,1,3,-191739.8646703204,0.07,65084.17,-136015.8912454621
11798,54,2749,2,1,3,24101.13299502075,0.0,37709.37,24101.13299502075
11799,58,1530,1,2,1,-98744.27200016384,0.31,82535.01,140396.2949816087
11800,56,1530,3,2,3,1458.0967286586197,0.05,65322.88,41406.92024173636
11801,35,1350,1,3,1,-129243.799402006,0.34,67838.37,1354554.4264409693
11802,38,1610,3,2,5,-220524.59112913453,0.1,15055.76,-140490.18589384737
11803,42,1610,2,2,3,242318.55172202,0.19,152587.38,1435378.1019835502
11804,47,1647,1,1,1,65563.37209184913,0.12,23282.06,145966.39896579014
11805,45,1046,2,3,4,-103965.91516903788,0.25,215474.28,1695828.1692827863
11806,40,1359,3,3,5,94901.39751202628,0.3,286946.37,4131973.287853897
11807,50,1359,2,3,5,65991.33685581388,0.27,87708.69,599697.234534361
11808,55,2749,3,1,3,-63040.198624066994,0.08,73928.67,18395.844894211536
11809,58,2749,2,1,3,171643.48607309273,0.31,111832.53,495671.9756947222
11810,37,1512,1,1,1,263281.2688382753,0.1,61806.33,652457.067466306
11811,56,2906,1,1,1,103826.92137550745,0.22,52533.71,275965.00954632467
11812,55,2749,1,1,1,32931.37821326963,0.11,10844.0,49356.02276428471
11813,57,2749,1,1,1,8523.693692482168,0.32,22750.08,86841.07021862168
11814,62,2944,1,1,1,-180462.7905642892,0.11,64055.3,-147026.07250203914
11815,56,2702,2,1,3,-122977.92829652864,0.25,119040.2,241022.85831617715
11816,39,1359,2,3,3,-305974.0253027845,0.25,17567.65,-86552.30282436585
11817,41,1359,3,3,3,-47732.84431759541,0.2,67529.78,546023.8927870565
11818,42,1811,3,2,5,-214075.6645720441,0.33,16570.31,10951.25638843549
11819,36,1732,1,1,1,-273438.392207254,0.09,83847.92,179216.15661471838
11820,38,1678,3,2,5,-104069.33263186316,0.05,64771.53,68089.05989463694
11821,51,2849,2,1,5,22292.861839221823,0.16,150714.38,519753.6677822492
11822,38,1678,1,2,1,-222682.15836704825,0.23,107555.51,1092344.4445440203
11823,54,1189,1,3,1,-52203.01298767701,0.29,9995.03,-7637.055979862489
11824,58,1442,1,4,1,174193.77933213543,0.15,45593.89,264042.04173894465
11825,49,1727,3,2,4,122012.24556182168,0.25,38567.35,413614.51181043475
11826,55,2865,1,1,1,248669.8483492921,0.14,121821.6,483506.63032259233
11827,56,2865,1,1,1,343109.29159491963,0.01,33009.15,347146.70301237924
11828,52,1647,1,1,1,742224.1055170719,0.13,70448.35,915682.1281232667
11829,61,3068,1,1,1,26852.797198669865,0.08,89990.49,66159.12900098163
11830,44,1728,1,1,1,365084.0020636942,0.1,3399.47,377281.6115561409
11831,44,3095,2,1,5,128187.5034951414,0.14,107150.46,666439.4237128344
11832,48,2842,2,1,4,304630.8749867347,0.21,74734.42,722220.6992004568
11833,38,1724,1,1,1,38724.98311327989,0.25,63745.4,919734.8213653298
11834,36,1727,1,1,1,151781.79718464616,0.06,177716.53,791385.7826331941
11835,55,3032,3,1,3,-48917.22912302978,0.18,120722.49,250291.64864886345
11836,43,1602,2,1,3,343193.8443433461,0.25,67243.79,989737.4301850755
11837,45,2480,2,4,3,-111268.56208970577,0.34,52161.57,486349.7842619519
11838,41,1164,3,3,3,46131.55839587342,0.06,70038.37,230875.6255762863
11839,52,1620,1,4,1,37828.286037867365,0.21,107743.79,463245.97625173116
11840,35,2368,3,3,3,1350.5658066433818,0.02,23122.23,30772.592952168983
11841,52,1222,1,3,1,-92768.75636756168,0.15,69630.38,106805.56352862308
11842,61,3058,1,1,1,88938.69604622784,0.31,82827.7,229127.46046079602
11843,55,1723,3,2,2,-255464.25556424283,0.25,60911.62,-45785.73465479535
11844,58,3032,1,1,1,-148828.60264455288,0.33,183303.73,416548.993238085
11845,46,2930,1,1,1,-184147.01426649524,0.21,14927.2,-86830.30554244379
11846,39,3004,2,1,4,-193242.4107037524,0.21,15182.39,-33953.55996293848
11847,36,1654,1,1,1,-57443.987569485085,0.31,83906.53,1502789.3052929393
11848,55,3032,1,1,1,133664.3557369043,0.26,30789.3,243891.09210002748
11849,42,1559,1,1,1,211962.0127506855,0.16,86521.59,781646.4809147115
11850,37,1654,1,1,1,124968.55927845278,0.07,91166.08,485515.3629503767
11851,42,1559,1,1,1,-327753.1226649278,0.25,48502.59,261229.96561644552
11852,39,3102,3,1,3,14835.639630143733,0.11,12106.26,81367.33998093028
11853,46,1562,1,1,1,373673.87249945576,0.05,95236.68,521504.3629465159
11854,52,3022,1,1,1,-112249.8763356878,0.29,11354.72,-50337.36372134695
11855,45,3046,1,1,1,-153867.8526724525,0.04,14793.8,-134096.92225676603
11856,59,3095,2,1,5,20862.82176798754,0.11,25171.45,42999.35870765148
11857,63,3276,1,1,1,-131497.7503677175,0.3,38464.9,-95333.78991379746
11858,45,1562,1,1,1,50091.14278300481,0.14,15187.69,121131.82655441991
11859,40,3003,2,1,4,38134.16210003437,0.05,97435.99,266606.6442207826
11860,37,1654,1,1,1,-118220.18020410104,0.32,61410.0,1038377.964776447
11861,37,3289,2,2,5,-123313.65299008237,0.11,26238.81,39753.74766439045
11862,43,1920,1,2,1,148614.83736232435,0.01,84700.26,181190.28251324568
11863,57,1795,1,2,1,-113519.00378958932,0.32,40018.3,24244.39172532795
11864,38,1769,3,4,5,-324831.43416079954,0.02,27753.33,-295324.8365549842
11865,40,2730,3,3,1,64885.60856023455,0.02,104720.3,163106.83818772392
11866,48,2292,2,3,5,-217583.8995411648,0.04,87074.28,-124909.49003121155
11867,36,1360,2,3,5,189770.8168990016,0.3,12831.4,420672.65194170974
11868,37,1360,3,3,5,175282.2528218383,0.06,158834.25,713707.8961356103
11869,50,3022,1,1,1,-89947.05112875266,0.14,61406.77,128578.1483312966
11870,36,1594,1,3,1,71318.51546154155,0.13,24393.1,261532.49621953547
11871,45,1310,3,3,5,-4052.795595261486,0.05,73641.12,118967.78221885808
11872,49,1310,2,3,5,76433.09849338153,0.33,68710.36,632604.8787061926
11873,43,1624,3,1,5,199958.5412745317,0.27,5026.1,252150.12854442006
11874,62,3186,3,1,3,-183046.841482222,0.1,90807.27,-144255.5268716852
11875,59,1818,1,4,1,-134523.20749503968,0.03,78852.51,-115610.85567220193
11876,53,3022,1,1,1,-87898.66330920676,0.04,32211.05,-65928.50821733758
11877,49,3053,1,1,1,82845.32622826386,0.1,132164.18,407025.574989332
11878,39,1769,1,4,1,-133781.70887274854,0.35,16386.53,152755.47130001185
11879,52,3022,3,1,5,-104960.93933559029,0.02,49784.54,-84859.01792191634
11880,35,1436,1,1,1,12788.811121526873,0.32,86863.58,1781270.5596155326
11881,46,1628,1,1,1,-165658.91816637063,0.29,26134.12,69626.84259947581
11882,53,3022,1,1,1,46632.48663325581,0.19,164426.02,579344.3824751865
11883,39,1724,1,1,1,27177.875924756896,0.3,124918.58,1899472.6900740466
11884,52,3022,3,1,5,-130391.6860163511,0.06,56995.35,-66094.0985904487
11885,40,1213,3,3,3,98061.85230743332,0.07,25672.87,182340.3829087913
11886,44,1857,3,2,3,45848.62029282139,0.32,54910.3,676322.8026924029
11887,37,1531,2,2,5,-33252.7696032203,0.2,23831.92,236036.69110613238
11888,43,3262,1,1,1,22779.03792856247,0.12,83958.66,410261.7762967591
11889,41,3482,3,2,5,-157675.9652111593,0.1,79483.71,191754.96957474106
11890,56,3439,2,1,4,429663.7813911513,0.24,34512.24,569764.0092136799
11891,48,1699,1,1,1,99562.3289846306,0.2,69740.47,474469.8491461324
11892,50,1621,1,1,1,-158943.4792112712,0.07,27853.62,-115001.9365550245
11893,58,3040,1,1,1,108393.93156062582,0.04,10162.74,112193.41152510406
11894,59,3094,1,1,1,85616.97191075304,0.25,15905.45,117407.27956874162
11895,63,1677,1,4,1,31759.8958797646,0.09,43088.36,49328.49642771687
11896,63,1625,3,2,5,72790.39821284688,0.1,27957.33,81552.0465079349
11897,59,1625,2,2,5,22607.17379545604,0.06,19126.54,31781.969972104802
11898,59,2874,1,1,1,-242758.6896806837,0.22,227051.62,156593.47901365373
11899,44,3262,1,1,1,-163201.9801963731,0.19,115691.85,625512.6178855529
11900,53,1318,1,3,1,10435.144248630208,0.04,66917.05,59052.184743809965
11901,51,1621,1,1,1,1758.2738733074816,0.31,69875.54,451428.99683145504
11902,46,2168,2,2,5,-69290.0929247032,0.09,75293.19,141081.92517843345
11903,51,1972,3,2,4,71765.35150259732,0.33,55535.13,449829.87636013597
11904,52,1800,2,2,4,31556.324127601456,0.02,19774.11,38992.17966373678
11905,59,2144,2,2,5,40871.24468368655,0.03,30295.1,48137.3620172762
11906,53,1972,3,2,5,-254636.38351382336,0.0,68026.95,-254636.38351382336
11907,60,1750,2,4,2,-31072.21943295608,0.26,122207.99,181814.747766926
11908,51,1800,2,2,3,-106150.96623349145,0.16,28403.36,-12400.400712869276
11909,51,1404,3,3,5,40739.29193816737,0.14,43539.55,192285.1987302231
11910,58,3145,2,3,4,47232.7635935434,0.34,107210.85,387931.8812205121
11911,56,1289,1,3,1,-186559.3076971309,0.12,92450.21,-50866.19227893837
11912,37,1662,1,1,1,-74524.68237618038,0.03,52808.44,40975.889098579966
11913,35,3452,2,1,5,150102.00532635514,0.28,85891.88,1680213.2942964584
11914,44,1813,1,1,1,78439.04238672872,0.03,6438.62,85369.74974083895
11915,62,2994,1,1,1,-62687.71152142083,0.34,78526.11,51365.33213593728
11916,39,1458,1,3,1,-190705.13852853657,0.23,88946.6,831370.7160195106
11917,47,1373,3,3,4,20141.045361913737,0.16,50201.69,263594.1237951036
11918,47,1373,3,3,5,73310.68657583081,0.17,71265.54,421967.5750867722
11919,55,3224,3,1,5,-175390.54906311195,0.01,78818.05,-164537.8072414583
11920,37,1469,2,3,5,63127.69777804892,0.34,57360.05,1164968.2873022906
11921,41,1458,1,3,1,102595.47077984177,0.34,75134.51,1225651.9438299038
11922,63,1693,1,2,1,-21815.83516822569,0.28,6877.81,-15780.542587380882
11923,40,1662,1,1,1,96795.16628929957,0.31,47565.41,889853.4113838039
11924,41,1871,1,4,1,-95365.34838897524,0.13,19546.25,16344.129336417507
11925,47,3319,3,1,3,12111.093919379942,0.02,49263.54,42871.83666413833
11926,60,2994,3,1,3,40126.131307055846,0.06,67070.02,67088.36149505577
11927,60,2994,3,1,2,-237240.46624055607,0.33,8474.83,-218502.56002026686
11928,54,2844,2,4,5,120402.81948956849,0.34,22845.52,239829.4286964121
11929,37,3983,2,4,5,89112.24238467483,0.15,79027.31,758840.752232313
11930,37,3983,2,4,5,41898.070372785245,0.04,149491.61,379735.0137451436
11931,56,1595,2,3,3,170201.56309315006,0.07,39573.91,213947.43394066364
11932,42,1366,2,3,3,-168008.08862563517,0.2,38998.63,225720.079026086
11933,37,1638,1,3,1,-39592.32475138328,0.26,127716.24,1836480.96734821
11934,42,1330,1,3,1,-108875.46368228827,0.26,32937.36,243537.63255509562
11935,52,1847,3,3,3,-40834.19405704137,0.12,41973.96,76599.61289751835
11936,62,1925,1,3,1,-390786.9785675781,0.11,55018.26,-358337.75445493765
11937,42,1880,1,3,1,-5660.462912821252,0.24,180789.49,1779899.0337451021
11938,40,1315,1,3,1,164337.41229554432,0.01,78486.02,201144.95292027382
11939,63,1891,3,3,3,-73585.76058304975,0.34,40530.46,-21919.312234925957
11940,48,1194,1,3,1,116696.70198344384,0.33,65697.22,709465.6410840084
11941,60,1401,1,3,1,-189015.2377329863,0.35,114933.83,80505.41478730968
11942,52,1216,3,3,1,-5379.697569407046,0.14,22660.65,54269.471889267676
11943,43,1432,1,3,1,98820.47340673007,0.2,15952.93,221529.3756489398
11944,50,1150,2,3,5,78541.80105242119,0.08,104734.56,267373.8096879021
11945,49,1194,1,3,1,-34733.53010799352,0.0,5012.54,-34733.53010799352
11946,38,1328,3,1,3,178172.84095908148,0.03,133721.49,391426.5043940671
11947,37,1328,2,3,5,210365.0134956685,0.12,35942.65,537902.6251832925
11948,39,1241,1,3,1,39345.255535033815,0.09,108720.15,528198.49027049
11949,40,1423,2,1,3,-61570.29665081872,0.15,28757.42,140724.94744088233
11950,41,1241,3,3,3,123345.38289041624,0.01,69605.36,153945.69836500735
11951,52,1340,1,3,1,216193.4714943615,0.11,50993.78,355344.08946084377
11952,44,1376,1,3,1,233236.41122215643,0.02,149125.61,340251.67866695824
11953,40,1226,3,3,5,85004.65327732489,0.11,44272.87,354113.6305644419
11954,50,1226,2,3,5,128787.40437737116,0.14,3620.8,140211.66719489635
11955,41,3135,1,3,1,150292.10838548673,0.29,81423.44,1188371.7272505679
11956,57,1303,3,3,3,-106120.6300693011,0.21,195024.15,334467.6221643813
11957,49,1580,2,1,3,50070.140262449786,0.2,33794.33,280337.370183976
